alpha_in,alpha_out,Omega,segment,rho_local,rho_local_std,D_local,MSD_t20,MSD_t100,MSD_t200,MSD_t1000,MSD_t2000,MSD_t6000,Rg_local,Rg_local_std,n_neighbors_3s,n_neighbors_3s_std,sigma_rho_theory,D_eff,rho_mean,Rg_chain,alpha_ratio,log_Omega
0.1,0.1,0.01,145,0.438595,0.258501,0.03338493683727149,4.987586,28.9632,66.8622,333.7648,528.5221,1257.155,1.699106,0.146031,18.348836,3.656842,0.4994979967108,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,155,0.312987,0.212314,0.03341817677345128,3.381559,24.3322,60.06238,321.8672,514.5659,1244.514,1.739169,0.129136,16.895893,3.455286,0.4951737701772,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,165,0.172236,0.112269,0.033659044519996385,2.112924,20.31623,53.63607,310.1048,499.9155,1235.241,1.80771,0.089789,15.341302,2.672256,0.48094141404410007,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,175,0.117466,0.023889,0.03381532268278927,1.479212,18.10236,49.90395,293.5681,484.7323,1227.266,1.843234,0.036651,14.092514,1.459646,0.45820237842000006,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,185,0.10701,0.003717,0.03362080604308309,1.309731,16.94488,47.17203,278.6819,471.9339,1211.896,1.854679,0.015403,13.282537,0.630822,0.42937349829439997,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,195,0.105553,0.004921,0.03313684187229813,1.305217,16.74605,46.27039,269.7108,462.6927,1198.363,1.84473,0.016394,13.034223,0.357257,0.39845794468310003,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,205,0.105366,0.003026,0.03279892849664471,1.302168,16.57075,45.2981,260.1005,449.2636,1182.524,1.846651,0.018242,13.022949,0.356202,0.37064986636979996,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,215,0.104198,0.002951,0.03258273094748176,1.286379,16.35306,44.69635,252.759,441.0333,1169.612,1.841978,0.020198,12.881912,0.325462,0.3490521305992,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,225,0.101864,0.004022,0.03247696561372173,1.280141,16.18373,44.13803,245.2357,432.5175,1160.632,1.845071,0.025647,12.698256,0.216505,0.3332079597131,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,235,0.101285,0.00248,0.03207634247805086,1.2601,15.9541,43.53332,238.232,426.0715,1144.668,1.842237,0.024286,12.638249,0.305159,0.32237177861370003,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,245,0.102334,0.0039,0.0315544206919692,1.285767,16.07833,43.16708,230.6586,417.144,1125.171,1.834623,0.016843,12.588653,0.33362,0.3144510785751,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,255,0.10199,0.004708,0.03141783563274328,1.246653,15.32815,40.94402,220.2077,401.5493,1109.0,1.829423,0.0261,12.565504,0.336399,0.3096180658519,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,265,0.100902,0.003952,0.031322568947161476,1.234991,14.7877,39.07351,209.4479,386.027,1089.302,1.818428,0.011984,12.401202,0.282164,0.3070241518045,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,275,0.100936,0.004305,0.03095771299685528,1.21801,14.22837,36.73638,198.8507,376.0475,1067.772,1.804765,0.013875,12.445622,0.273358,0.30543452090640005,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,285,0.099906,0.004382,0.03038360849110533,1.191356,13.46286,33.75534,185.1532,361.402,1045.485,1.771095,0.01626,12.384449,0.27292,0.3043055637424,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,295,0.098924,0.004377,0.02986267210124391,1.133429,11.02336,26.98744,167.6325,338.9137,1017.585,1.674471,0.01021,10.707241,0.365892,0.3036252393416,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.1,5,0.897895,0.003835,0.03738839052761315,17.41266,68.6574,118.9304,372.9925,567.8695,1451.974,1.536525,0.006071,13.553453,0.149183,0.30563902540180005,0.037013348882809737,0.5018365166666666,9.685957892457983,1.0,-1.0
0.1,0.1,0.1,15,0.894026,0.005488,0.037433939240932045,18.09766,68.86161,119.0798,373.2878,568.0601,1453.273,1.533634,0.007371,16.457677,0.152125,0.3101245612393,0.037013348882809737,0.5018365166666666,9.685957892457983,1.0,-1.0
0.1,0.1,0.1,25,0.89146,0.006422,0.03743776461105016,17.866,67.98175,118.2296,372.2209,567.2401,1452.796,1.533433,0.004242,17.19854,0.16691,0.31440288178609993,0.037013348882809737,0.5018365166666666,9.685957892457983,1.0,-1.0
0.1,0.1,0.1,35,0.887395,0.004522,0.03744404054525364,17.52219,66.91164,117.0888,370.8067,565.5501,1451.788,1.533974,0.003747,17.718177,0.179437,0.3186194821521,0.037013348882809737,0.5018365166666666,9.685957892457983,1.0,-1.0
0.1,0.1,0.1,45,0.884248,0.006744,0.03749244440001193,17.17815,65.7767,115.9339,369.5307,564.1686,1451.743,1.533586,0.006684,18.166972,0.212384,0.3228685124931,0.037013348882809737,0.5018365166666666,9.685957892457983,1.0,-1.0
